NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
74,"Autres activités spécialisées, scientifiques et techniques",721.0,,173
81,Activités de services pour les bâtiments et l’aménagement paysager,30.0,,170
33,"Réparation, entretien et installation de machines et d’équipements",30.0,,167
66,Activités auxiliaires d’activités de services financiers et d’assurance,12.0,,167
27,Fabrication d’équipements électriques,15.0,,166
68,Activités immobilières,706.0,,162
72,Recherche et développement scientifique,15.0,,162
70,Activités des sièges sociaux et conseil de gestion,125.0,,161
92,Activités de jeux d’argent et de paris,15.0,,159
93,Activités sportives et activités récréatives et de loisirs,3.0,,159
81,Activités de services pour les bâtiments et l’aménagement paysager,3.0,,153
10,Industries alimentaires,721.0,,151
78,Activités liées à l’emploi,11.0,,151
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",12.0,,150
68,Activités immobilières,8.0,,150
18,Imprimerie et reproduction d’enregistrements,17.0,,148
56,Activités de service de restauration,8.0,,148
18,Imprimerie et reproduction d’enregistrements,12.0,,147
80,Activités d’investigation et de sécurité,14.0,,146
33,"Réparation, entretien et installation de machines et d’équipements",3.0,,145
70,Activités des sièges sociaux et conseil de gestion,721.0,,144
88,Activités d’action sociale sans hébergement,11.0,,143
32,Autres industries manufacturières,11.0,,142
77,Activités de location et location-bail,30.0,,141
13,Fabrication de textiles,612.0,,140
66,Activités auxiliaires d’activités de services financiers et d’assurance,30.0,,140
87,Activités de soins en établissement résidentiel,,,140
